indice_tiempo,idempresa,cuit,empresa,direccion,localidad,provincia,region,idproducto,producto,idtipohorario,tipohorario,precio,fecha_vigencia,idempresabandera,empresabandera,latitud,longitud,geojson
2025-09,4571,30-64373025-8,COMBUSTIBLES Y LUBRICANTES SAN VICENTE SRL,Ruta Nac. 14 y Democracia 976,SAN VICENTE,MISIONES,NEA,19,Gas Oil Grado 2,2,Diurno,1569.0,2025-09-01 07:54:00,4,SHELL C.A.P.S.A.,-26.99121,-54.48841,"{""type"":""Point"",""coordinates"":[-54.48841,-26.99121]}"
2025-06,9486,27-34770613-8,MARTINEZ GARAT MAILEN HAIDEE,BV. URQUIZA 1940,SAN LORENZO,SANTA FE,,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1454.0,2025-06-01 00:00:00,2,YPF,-32.747308,-60.748608,"{""type"":""Point"",""coordinates"":[-60.748608,-32.747308]}"
2025-06,8809,30-71538539-9,GUIDO COMBUSTIBLES SA,RUTA 2 KM 249,CASTELLI,BUENOS AIRES,PAMPEANA,19,Gas Oil Grado 2,3,Nocturno,1267.0,2025-06-01 00:00:00,2,YPF,-36.64956,-57.78864,"{""type"":""Point"",""coordinates"":[-57.78864,-36.64956]}"
2025-03,9451,30-71406845-4,RAIMON SRL,AV. LEANDRO ALEM (O) 205,SAN MIGUEL DE TUCUMAN,TUCUMAN,,19,Gas Oil Grado 2,3,Nocturno,1284.0,2025-03-05 17:14:00,8,REFINOR,-26.831168,-65.219449,"{""type"":""Point"",""coordinates"":[-65.219449,-26.831168]}"
2025-06,5087,20-11795984-9,ROBERTO LUIS MARTINEZ,RUTA 188 KM 503,QUETREQUEN,LA PAMPA,PATAGONIA,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1354.0,2025-06-01 16:37:00,1,BLANCA,-35.066,-64.52208,"{""type"":""Point"",""coordinates"":[-64.52208,-35.066]}"
2025-06,8294,30-70978392-7,JOSE AFID SCHAMUN SRL,RUTA NACIONAL 157 KM 1094,LAVALLE,SANTIAGO DEL ESTERO,NOA,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1284.0,2025-06-02 09:45:00,26,AXION,-28.192697,-65.100155,"{""type"":""Point"",""coordinates"":[-65.100155,-28.192697]}"
2025-08,5893,30-70840377-2,ADROGUE DENAK BAT S.A.,ESPORA 1491,ADROGUE,BUENOS AIRES,PAMPEANA,6,GNC,2,Diurno,449.0,2025-08-08 18:31:00,2,YPF,-34.80892,-58.3883,"{""type"":""Point"",""coordinates"":[-58.3883,-34.80892]}"
2025-10,4665,33-66333975-9,RIAMBER S.A.,AV. H. YRIGOYEN 11101,TEMPERLEY,BUENOS AIRES,PAMPEANA,19,Gas Oil Grado 2,2,Diurno,1519.0,2025-10-06 14:35:00,26,AXION,-34.77389,-58.40528,"{""type"":""Point"",""coordinates"":[-58.40528,-34.77389]}"
2025-06,6610,30-67348956-3,SERVICIOS RIO V S.R.L.,AV. PTE. JUAN D. PERON 1192,VILLA MERCEDES,SAN LUIS,CUYO,21,Gas Oil Grado 3,3,Nocturno,1414.0,2025-06-02 09:49:00,29,GULF,-33.673998,-65.450468,"{""type"":""Point"",""coordinates"":[-65.450468,-33.673998]}"
2025-06,6594,30-70900194-5,ROBERTO SOTERO SANCHEZ E HIJOS SRL,HIPOLITO YRIGOYEN 963,LAGUNA LARGA,CORDOBA,CENTRO,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1479.0,2025-06-01 00:00:00,2,YPF,-31.78105,-63.79772,"{""type"":""Point"",""coordinates"":[-63.79772,-31.78105]}"
2025-12,10816,30-71704690-7,GEN COMBUSTIBLES S.R.L.,URQUIZA 1251,SAN FRANCISCO,CORDOBA,,21,Gas Oil Grado 3,3,Nocturno,1956.0,2025-12-03 09:51:00,28,PUMA,-31.41613,-62.09473,"{""type"":""Point"",""coordinates"":[-62.09473,-31.41613]}"
2025-06,10086,30-54749827-1,JULIO GONZALEZ E HIJOS SRL,AV ARIJON 1993,ROSARIO,SANTA FE,,19,Gas Oil Grado 2,2,Diurno,1284.0,2025-06-02 08:22:00,2,YPF,-33.00358,-60.66167,"{""type"":""Point"",""coordinates"":[-60.66167,-33.00358]}"
2025-08,3024,27-14523536-2,CAVALLO MARIA TERESA,MITRE BARTOLOME 1201,GALVEZ,SANTA FE,CENTRO,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1483.0,2025-08-06 10:22:00,4,SHELL C.A.P.S.A.,-32.022108,-61.224334,"{""type"":""Point"",""coordinates"":[-61.224334,-32.022108]}"
2025-06,8716,30-70806846-9,KEH COM S. A,Ruta Nac. 8 km 225 y calle Azcuenaga,PERGAMINO,BUENOS AIRES,PAMPEANA,21,Gas Oil Grado 3,3,Nocturno,1420.0,2025-06-01 00:00:00,2,YPF,-33.91375,-60.575412,"{""type"":""Point"",""coordinates"":[-60.575412,-33.91375]}"
2025-06,882,30-67877449-5,OPESSA,AUTOP AUSOL KM 36.5 LADO CAMPANA,MALVINAS ARGENTINAS,BUENOS AIRES,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1226.0,2025-06-01 00:00:00,2,YPF,-34.43964,-58.70571,"{""type"":""Point"",""coordinates"":[-58.70571,-34.43964]}"
2025-06,850,30-67877449-5,OPESSA ACA OROÑO,BOULEVARD OROÑO 1302 Y 3 DE FEBRERO,ROSARIO,SANTA FE,CENTRO,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1481.0,2025-06-01 00:00:00,2,YPF,-32.95017,-60.65523,"{""type"":""Point"",""coordinates"":[-60.65523,-32.95017]}"
2025-08,4612,30-64132611-5,COMERCIAL FUTURO S.A.,AVDA SAN MARTIN Y GUALEGUY,STROBEL,ENTRE RIOS,CENTRO,3,Nafta (premium) de más de 95 Ron,2,Diurno,1669.0,2025-08-05 12:05:00,4,SHELL C.A.P.S.A.,-32.053674,-60.61607,"{""type"":""Point"",""coordinates"":[-60.61607,-32.053674]}"
2025-06,1883,30-69901098-3,INVERSORA MINORISTA S.A.,Ricchieri 2189,TAPIALES,BUENOS AIRES,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1227.0,2025-06-01 00:00:00,2,YPF,-34.70268,-58.49945,"{""type"":""Point"",""coordinates"":[-58.49945,-34.70268]}"
2025-09,3317,30-70722926-4,VICTOM S.A.,EVA PERON  4763,ROSARIO,SANTA FE,CENTRO,19,Gas Oil Grado 2,3,Nocturno,1575.0,2025-09-15 09:34:00,4,SHELL C.A.P.S.A.,-32.937626,-60.688421,"{""type"":""Point"",""coordinates"":[-60.688421,-32.937626]}"
2025-07,933,30-50014329-7,AUTOMOVIL CLUB ARGENTINO,RUTA 2 KILÓMETRO 122,CHASCOMUS,BUENOS AIRES,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1379.0,2025-07-20 00:00:00,2,YPF,-35.57292,-57.97931,"{""type"":""Point"",""coordinates"":[-57.97931,-35.57292]}"
2025-06,5890,30-70781125-7,COMERCIAL BAHIA BLANCA S.A.,AV. ALEM 2095,BAHIA BLANCA,BUENOS AIRES,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1435.0,2025-06-23 00:00:00,4,SHELL C.A.P.S.A.,-38.692775,-62.279279,"{""type"":""Point"",""coordinates"":[-62.279279,-38.692775]}"
2025-06,7121,30-71038841-1,NUEVA ESTACIÓN DE SERVICIO BOLÍVAR SRL,BOLÍVAR  Nº 101 ESQUINA ESPAÑA,SALTA,SALTA,NOA,3,Nafta (premium) de más de 95 Ron,2,Diurno,1449.0,2025-06-01 00:00:00,2,YPF,-24.78768,-65.42036,"{""type"":""Point"",""coordinates"":[-65.42036,-24.78768]}"
2025-06,9957,30-70802634-0,TAMSE,Ruta Nacional 19 KM 7 y 1/2,CORDOBA,CORDOBA,,21,Gas Oil Grado 3,3,Nocturno,1427.0,2025-06-01 00:00:00,2,YPF,-31.3958,-64.1117,"{""type"":""Point"",""coordinates"":[-64.1117,-31.3958]}"
2025-07,571,30-50014329-7,AUTOMOVIL CLUB ARGENTINO,RUTA NACIONAL 12 KM.1181,CURUZU CUATIA,CORRIENTES,NEA,21,Gas Oil Grado 3,3,Nocturno,1567.0,2025-07-20 00:00:00,2,YPF,-27.44128,-57.36488,"{""type"":""Point"",""coordinates"":[-57.36488,-27.44128]}"
2025-06,2518,30-70806846-9,KEH COM S.A.,AVDA ROCA 116,PERGAMINO,BUENOS AIRES,PAMPEANA,21,Gas Oil Grado 3,2,Diurno,1420.0,2025-06-01 00:00:00,2,YPF,-33.8949,-60.56716,"{""type"":""Point"",""coordinates"":[-60.56716,-33.8949]}"
2025-08,9850,30-71442228-2,TEXAS ENERGY SRL,AV. ALEM 1802,SAN MIGUEL DE TUCUMAN,TUCUMAN,,19,Gas Oil Grado 2,3,Nocturno,1447.0,2025-08-04 22:00:00,8,REFINOR,-26.8531,-65.22399,"{""type"":""Point"",""coordinates"":[-65.22399,-26.8531]}"
2025-12,2424,30-66128920-8,AZULES S.A.,GODOY CRUZ 6596,VILLA NUEVA,MENDOZA,CUYO,6,GNC,3,Nocturno,679.0,2025-12-06 06:00:00,1,BLANCA,-32.901497,-68.760876,"{""type"":""Point"",""coordinates"":[-68.760876,-32.901497]}"
2025-06,3914,30-70808404-9,LA EXELENCIA S.R.L.,ITALIA Y RUTA NAC. 178,LAS ROSAS,SANTA FE,CENTRO,19,Gas Oil Grado 2,2,Diurno,1277.0,2025-06-01 00:00:00,2,YPF,-32.47439,-61.58804,"{""type"":""Point"",""coordinates"":[-61.58804,-32.47439]}"
2025-05,1049,30-68917135-0,GNC-SAN LORENZO S.A.,AV.SAN MARTIN 2302,SAN LORENZO,SANTA FE,CENTRO,6,GNC,3,Nocturno,599.0,2025-05-06 14:00:00,4,SHELL C.A.P.S.A.,-32.73927,-60.73374,"{""type"":""Point"",""coordinates"":[-60.73374,-32.73927]}"
2025-11,9799,30-71120953-7,PETROLEO Y SERVICIOS SA,AV MOSCONI 464,CATRIEL,RIO NEGRO,,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1382.0,2025-11-12 21:08:00,30,VOY,-37.872525,-67.792113,"{""type"":""Point"",""coordinates"":[-67.792113,-37.872525]}"
2025-06,1435,20-10913616-7,CONSTANTINO RAUL ALONSO,RUTA 3 KM 401,BENITO JUAREZ,BUENOS AIRES,PAMPEANA,21,Gas Oil Grado 3,2,Diurno,1420.0,2025-06-01 00:00:00,2,YPF,-37.6468,-59.85897,"{""type"":""Point"",""coordinates"":[-59.85897,-37.6468]}"
2025-07,3875,33-66005472-9,COMBUSTIBLES CENTRAL S.R.L.,BELGRANO ESQ. IRIGOYEN,VILLA ANGELA,CHACO,NEA,19,Gas Oil Grado 2,3,Nocturno,1462.0,2025-07-02 06:59:00,4,SHELL C.A.P.S.A.,-27.57854,-60.71534,"{""type"":""Point"",""coordinates"":[-60.71534,-27.57854]}"
2025-06,9788,30-71582291-8,JUCRU INDEPENDENCIA SA,INDEPENDENCIA 4291,CORRIENTES,CORRIENTES,,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1477.0,2025-06-01 00:00:00,2,YPF,-27.480993,-58.799508,"{""type"":""Point"",""coordinates"":[-58.799508,-27.480993]}"
2025-09,3671,30-58619069-1,DON GOYO COMB. S.A.C.,RUTA 8 KM 115.700,SAN ANTONIO DE ARECO,BUENOS AIRES,PAMPEANA,3,Nafta (premium) de más de 95 Ron,2,Diurno,1899.0,2025-09-04 20:18:00,1,BLANCA,-34.22913,-59.48594,"{""type"":""Point"",""coordinates"":[-59.48594,-34.22913]}"
2025-08,6263,30-70866649-8,RINCON DE MILBERG S.R.L,AV.SANTA MARIA 2210,TIGRE,BUENOS AIRES,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1458.0,2025-08-26 16:05:00,4,SHELL C.A.P.S.A.,-34.42152,-58.59268,"{""type"":""Point"",""coordinates"":[-58.59268,-34.42152]}"
2025-08,4612,30-64132611-5,COMERCIAL FUTURO S.A.,AVDA SAN MARTIN Y GUALEGUY,STROBEL,ENTRE RIOS,CENTRO,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1669.0,2025-08-05 12:05:00,4,SHELL C.A.P.S.A.,-32.053674,-60.61607,"{""type"":""Point"",""coordinates"":[-60.61607,-32.053674]}"
2025-08,3222,33-70781163-9,REPRESENTACIONES AL.SA.GA.S.R.L.,JJOSE MARIA MORENO 1302,LANUS,BUENOS AIRES,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1360.0,2025-08-14 14:00:00,6,DAPSA S.A.,-34.70065,-58.40978,"{""type"":""Point"",""coordinates"":[-58.40978,-34.70065]}"
2025-06,1923,30-70764246-3,LIDER COMBUSTIBLES S.A,AVDA ALBERDI 1224,SAN JORGE,SANTA FE,CENTRO,19,Gas Oil Grado 2,3,Nocturno,1277.0,2025-06-01 00:00:00,2,YPF,-31.89647,-61.85674,"{""type"":""Point"",""coordinates"":[-61.85674,-31.89647]}"
2025-07,5080,33-59794471-9,INTEGRAL ESTACION SOLA S.A.,AUSTRALIA 2550,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,19,Gas Oil Grado 2,2,Diurno,1302.0,2025-07-21 14:28:00,1,BLANCA,-34.6460366684544,-58.382975219574,"{""type"":""Point"",""coordinates"":[-58.382975219574,-34.6460366684544]}"
2025-03,2620,30-66876430-0,TODO CAMPO S.R.L.,IRIGOYEN Y PAMPA,VILLA HUIDOBRO,CORDOBA,CENTRO,21,Gas Oil Grado 3,2,Diurno,1545.0,2025-03-05 09:01:00,1,BLANCA,-34.83881,-64.5912,"{""type"":""Point"",""coordinates"":[-64.5912,-34.83881]}"
2025-09,8025,30-71337310-5,CLEMAR ANGIONI S.A.,JUAN DE GARAY 5971,RECREO SUR,SANTA FE,CENTRO,19,Gas Oil Grado 2,2,Diurno,1550.0,2025-09-30 11:53:00,6,DAPSA S.A.,-31.55437,-60.72605,"{""type"":""Point"",""coordinates"":[-60.72605,-31.55437]}"
2025-06,1025,30-67877449-5,OPESSA,EV EDISON Y LA HABANA,MARTINEZ,BUENOS AIRES,PAMPEANA,21,Gas Oil Grado 3,3,Nocturno,1375.0,2025-06-01 00:00:00,2,YPF,-34.50534,-58.52572,"{""type"":""Point"",""coordinates"":[-58.52572,-34.50534]}"
2025-11,6923,30-70941858-7,SOLAGUS S.A.,BRANDSEN 470,BAHIA BLANCA,BUENOS AIRES,PAMPEANA,21,Gas Oil Grado 3,3,Nocturno,1871.0,2025-11-24 16:57:00,28,PUMA,-38.71866,-62.25397,"{""type"":""Point"",""coordinates"":[-62.25397,-38.71866]}"
2025-06,5124,20-13940517-0,SARO SRL,CAMPOS 278,TOLHUIN,TIERRA DEL FUEGO,PATAGONIA,19,Gas Oil Grado 2,3,Nocturno,1095.0,2025-06-01 00:00:00,2,YPF,-54.50983,-67.19089,"{""type"":""Point"",""coordinates"":[-67.19089,-54.50983]}"
2025-06,4389,30-64430562-3,PETROMISIONES S.A.,AV. SANTA CATALINA Nº 4672,POSADAS,MISIONES,NEA,3,Nafta (premium) de más de 95 Ron,2,Diurno,1586.0,2025-06-02 16:31:00,4,SHELL C.A.P.S.A.,-27.390345,-55.912383,"{""type"":""Point"",""coordinates"":[-55.912383,-27.390345]}"
2025-06,9580,33-71211341-9,NUEVO MADERO SRL,LA CRIOLLITA N° 21 - Esq Ruta 65,GRAL. FERNANDEZ ORO,RIO NEGRO,,3,Nafta (premium) de más de 95 Ron,2,Diurno,1239.0,2025-06-01 00:00:00,2,YPF,-38.955045,-67.934618,"{""type"":""Point"",""coordinates"":[-67.934618,-38.955045]}"
2025-06,6852,30-67877449-5,OPESSA,AV. ANTÁRTIDA ARGENTINA Y CALLE 10,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,3,Nafta (premium) de más de 95 Ron,2,Diurno,1435.0,2025-06-01 00:00:00,2,YPF,-34.58687,-58.37246,"{""type"":""Point"",""coordinates"":[-58.37246,-34.58687]}"
2025-07,5147,30-70743658-8,KM 325 S.R.L.,RUTA NAC. 11 KM 325,SAN LORENZO,SANTA FE,CENTRO,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1369.0,2025-07-21 08:00:00,29,GULF,-32.77304,-60.729785,"{""type"":""Point"",""coordinates"":[-60.729785,-32.77304]}"
2025-06,2450,30-70895737-9,RODPETROL SRL,AV MONTEVERDE  Y MOSCONI 185,QUILMES,BUENOS AIRES,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1314.0,2025-06-03 08:00:00,4,SHELL C.A.P.S.A.,-34.773853,-58.281393,"{""type"":""Point"",""coordinates"":[-58.281393,-34.773853]}"
2025-06,10216,30-71553628-1,CINCO BOCAS S.R.L.,RUTA NACIONAL 18 - KM 137,PASO DE LA LAGUNA,ENTRE RIOS,,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1266.0,2025-06-01 00:00:00,2,YPF,-31.80478,-59.16614,"{""type"":""Point"",""coordinates"":[-59.16614,-31.80478]}"
2025-06,6722,30-61534113-0,PETROSURCO S.A.,CALLE 32 Nº 677,GRAL. PICO,LA PAMPA,PATAGONIA,3,Nafta (premium) de más de 95 Ron,2,Diurno,1266.0,2025-06-01 00:00:00,2,YPF,-35.65491,-63.74796,"{""type"":""Point"",""coordinates"":[-63.74796,-35.65491]}"
2025-08,7730,20-11775969-6,VILLACÉ MARIO OSCAR,AV. SAN MARTIN 1115,VILLA CARLOS PAZ,CORDOBA,CENTRO,21,Gas Oil Grado 3,2,Diurno,1693.0,2025-08-09 12:00:00,4,SHELL C.A.P.S.A.,-31.41341,-64.48544,"{""type"":""Point"",""coordinates"":[-64.48544,-31.41341]}"
2025-06,2089,33-67335871-9,SUMMA S.R.L.,Sarmiento 1693,SAN LUIS,SAN LUIS,CUYO,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1237.0,2025-06-02 16:25:00,1,BLANCA,-33.28703,-66.3238,"{""type"":""Point"",""coordinates"":[-66.3238,-33.28703]}"
2025-11,9455,27-12228335-1,ANALIA SUSANA MARTINEZ,AV. LARRAZABAL 801,CAPITAL FEDERAL,CAPITAL FEDERAL,,3,Nafta (premium) de más de 95 Ron,2,Diurno,1800.0,2025-11-25 08:46:00,2,YPF,-34.64713,-58.50761,"{""type"":""Point"",""coordinates"":[-58.50761,-34.64713]}"
2025-06,1471,30-62239482-7,URETA HNOS S.A.,SARMIENTO 1199,GRAL. ALVEAR,BUENOS AIRES,PAMPEANA,3,Nafta (premium) de más de 95 Ron,2,Diurno,1480.0,2025-06-01 00:00:00,2,YPF,-36.02493,-60.01416,"{""type"":""Point"",""coordinates"":[-60.01416,-36.02493]}"
2025-06,931,30-54749995-2,APIES1344PETROIGUAZU S.A.,AV. VICTORIA Y CHACO,PUERTO ESPERANZA,MISIONES,NEA,21,Gas Oil Grado 3,3,Nocturno,1489.0,2025-06-01 00:00:00,2,YPF,-26.013431,-54.613652,"{""type"":""Point"",""coordinates"":[-54.613652,-26.013431]}"
2025-04,6730,20-13783790-1,BATAGLIA MARCELO BENITO,RUTA PROVINCIAL Nº 20 KM 54,URDINARRAIN,ENTRE RIOS,CENTRO,6,GNC,3,Nocturno,760.0,2025-04-02 14:14:00,1,BLANCA,-32.686574,-58.867919,"{""type"":""Point"",""coordinates"":[-58.867919,-32.686574]}"
2025-06,6267,27-04442658-2,CRUDO ANGELA ELDA,AVDA. HERNAN APEZTEGUIA Y RUTA 75,SAN CAYETANO,BUENOS AIRES,PAMPEANA,21,Gas Oil Grado 3,2,Diurno,1533.0,2025-06-01 17:06:00,4,SHELL C.A.P.S.A.,-38.35972,-59.62595,"{""type"":""Point"",""coordinates"":[-59.62595,-38.35972]}"
2025-08,8803,33-71420806-9,ESTACION DE SERVICIO MARIA SRL,RUTA NACIONAL 38 KM 688,LA COCHA,TUCUMAN,CUYO,21,Gas Oil Grado 3,2,Diurno,1660.0,2025-08-14 14:09:00,4,SHELL C.A.P.S.A.,-27.77265,-65.5852,"{""type"":""Point"",""coordinates"":[-65.5852,-27.77265]}"
2025-06,890,30-67877449-5,OPESSA,RUTA 9 KM 36.5 LADO BS AS,TORTUGAS,BUENOS AIRES,PAMPEANA,19,Gas Oil Grado 2,2,Diurno,1233.0,2025-06-01 00:00:00,2,YPF,-34.4566,-58.72386,"{""type"":""Point"",""coordinates"":[-58.72386,-34.4566]}"
2025-06,3227,30-54706763-7,AUTOSUR RÍO GRANDE S.A. (APIES 1887),AV. SAN MARTÍN 519,RIO GRANDE,TIERRA DEL FUEGO,PATAGONIA,21,Gas Oil Grado 3,3,Nocturno,1278.0,2025-06-01 00:00:00,2,YPF,-53.7866934237849,-67.7008273368296,"{""type"":""Point"",""coordinates"":[-67.7008273368296,-53.7866934237849]}"
2025-06,6367,30-67877449-5,OPESSA BANCALARI,"RUTA 9 PANAMERICANA KM 23,5",SAN ISIDRO,BUENOS AIRES,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1215.0,2025-06-01 00:00:00,2,YPF,-34.48686,-58.59114,"{""type"":""Point"",""coordinates"":[-58.59114,-34.48686]}"
2025-06,1578,30-69352582-5,LUEY GAS S.A,Camino General Belgrano 3925,SAN FRANCISCO SOLANO,BUENOS AIRES,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1247.0,2025-06-01 00:00:00,2,YPF,-34.76332,-58.29183,"{""type"":""Point"",""coordinates"":[-58.29183,-34.76332]}"
2025-06,1557,30-64531722-6,PICHI-HUE,RUTA 258,EL HOYO,CHUBUT,PATAGONIA,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1239.0,2025-06-01 00:00:00,2,YPF,-42.06804,-71.51748,"{""type"":""Point"",""coordinates"":[-71.51748,-42.06804]}"
2025-06,1166,30-59022516-5,RASSO ALBERTO Y OSCAR S. H.,AVDA. BELGRANO 594,LA TOMA,SAN LUIS,CUYO,21,Gas Oil Grado 3,2,Diurno,1414.0,2025-06-01 00:00:00,2,YPF,-33.05412,-65.62088,"{""type"":""Point"",""coordinates"":[-65.62088,-33.05412]}"
2025-06,5542,30-70930040-3,FRANCISCO JOSE DURA,AV.ROQUE SAENZ PEÑA 1470,SAN GENARO NORTE,SANTA FE,CENTRO,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1266.0,2025-06-01 00:00:00,2,YPF,-32.365931,-61.34568,"{""type"":""Point"",""coordinates"":[-61.34568,-32.365931]}"
2025-06,9239,30-71303490-4,FABIAN ENRICO SRL,AV. LEOPOLDO LUGONES Y AV. NUÑEZ DEL PRADO,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,,19,Gas Oil Grado 2,3,Nocturno,1281.0,2025-06-01 00:00:00,2,YPF,-27.768719,-64.271661,"{""type"":""Point"",""coordinates"":[-64.271661,-27.768719]}"
2025-07,764,30-50014329-7,AUTOMOVIL CLUB ARGENTINO,RUTA 2 KILÓMETRO 210,DOLORES,BUENOS AIRES,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1417.0,2025-07-20 00:00:00,2,YPF,-36.31655,-57.69864,"{""type"":""Point"",""coordinates"":[-57.69864,-36.31655]}"
2025-06,113,30-70725328-9,CASACOM S.A.,AV. VENEZUELA 4693,VILLA LUZURIAGA,BUENOS AIRES,PAMPEANA,19,Gas Oil Grado 2,3,Nocturno,1213.0,2025-06-01 00:00:00,2,YPF,-34.684115,-58.592343,"{""type"":""Point"",""coordinates"":[-58.592343,-34.684115]}"
2025-09,2481,30-64572255-4,SERVINORTE S.A.,PARAGUAY 1676 Y ARTURO CAPDEVILA,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1684.0,2025-09-27 00:00:00,2,YPF,-34.59864,-58.390564,"{""type"":""Point"",""coordinates"":[-58.390564,-34.59864]}"
2025-12,825,30-62753962-9,LEJEM S.A.,INTENDENTE RABANAL 1733,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,3,Nafta (premium) de más de 95 Ron,2,Diurno,1899.0,2025-12-16 13:52:00,26,AXION,-34.65685,-58.42304,"{""type"":""Point"",""coordinates"":[-58.42304,-34.65685]}"
2025-01,2065,30-53857127-6,CA.PE.CAV.SA,PERON 1172,RIO SEGUNDO,CORDOBA,CENTRO,19,Gas Oil Grado 2,3,Nocturno,1294.0,2025-01-17 11:30:00,4,SHELL C.A.P.S.A.,-31.642399,-63.90982,"{""type"":""Point"",""coordinates"":[-63.90982,-31.642399]}"
2025-06,4121,30-51153449-2,COOPERATIVA AGROPECUARIA UNION DE JUSTINIANO POSSE LIMITADA,INTERSECCION RUTAS 3 Y 6,JUSTINIANO POSSE,CORDOBA,CENTRO,21,Gas Oil Grado 3,2,Diurno,1427.0,2025-06-01 00:00:00,2,YPF,-32.89132,-62.68017,"{""type"":""Point"",""coordinates"":[-62.68017,-32.89132]}"
2025-06,1128,30-67877449-5,OPESSA,AVELLANEDA 999 Y BOLIVAR,TANDIL,BUENOS AIRES,PAMPEANA,19,Gas Oil Grado 2,3,Nocturno,1283.0,2025-06-01 00:00:00,2,YPF,-37.33173,-59.12652,"{""type"":""Point"",""coordinates"":[-59.12652,-37.33173]}"
2025-07,7873,20-10732883-2,ANTONIO RABAL,BELGRANO Nº 593,CAMARONES,CHUBUT,PATAGONIA,19,Gas Oil Grado 2,2,Diurno,1450.0,2025-07-06 16:24:00,1,BLANCA,-44.796742,-65.716348,"{""type"":""Point"",""coordinates"":[-65.716348,-44.796742]}"
2025-06,8119,30-67877449-5,OPESSA,Av. Gobernador Gutniski 1701,FORMOSA,FORMOSA,NEA,19,Gas Oil Grado 2,3,Nocturno,1304.0,2025-06-01 00:00:00,2,YPF,-26.188126,-58.184211,"{""type"":""Point"",""coordinates"":[-58.184211,-26.188126]}"
2025-06,5222,30-66936075-0,CORTONA Y PAUTASSO S.A.,AV.RIVADAVIA 231,PASCO,CORDOBA,CENTRO,21,Gas Oil Grado 3,3,Nocturno,1619.0,2025-06-21 06:00:00,4,SHELL C.A.P.S.A.,-32.745953,-63.3471,"{""type"":""Point"",""coordinates"":[-63.3471,-32.745953]}"
2025-06,6806,30-70783593-8,PETROGUAZZ S.A.,AV. SAN MARTIN 390,TRENQUE LAUQUEN,BUENOS AIRES,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1288.0,2025-06-01 00:00:00,2,YPF,-35.97117,-62.73312,"{""type"":""Point"",""coordinates"":[-62.73312,-35.97117]}"
2025-06,1801,33-57915731-9,LA DECADA S.R.L.,SAN MARTIN 1509,RAMOS MEJIA,BUENOS AIRES,PAMPEANA,21,Gas Oil Grado 3,2,Diurno,1394.0,2025-06-01 00:00:00,2,YPF,-34.65502,-58.54956,"{""type"":""Point"",""coordinates"":[-58.54956,-34.65502]}"
2025-02,10471,27-10561010-1,FLORES ANA MARIA,RN25 KM 367,PASO DE INDIOS,CHUBUT,,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1243.0,2025-02-10 21:22:00,28,PUMA,-43.861706,-69.050428,"{""type"":""Point"",""coordinates"":[-69.050428,-43.861706]}"
2025-06,9889,30-62706249-0,LUIS A CARRIZO Y CIA SRL,AV. CIRCUNVALACIÓN ESQ. SANTO DOMINGO,CHILECITO,LA RIOJA,,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1244.0,2025-06-01 00:00:00,2,YPF,-29.163336,-67.509159,"{""type"":""Point"",""coordinates"":[-67.509159,-29.163336]}"
